puzzle-241	lime-jigsaw	AAAABBBBBCCAABDBDBCCAAADDDBCCCEEDDDFCGEEEEEDFCGGGEEFFFHGGGIIIFFHGHGHIIFFHHHHHIIII	.........2..33.3..3.5..42..2.....2.....5.............1.......................1...	......OOO.OO..O....O.OO.....O..OO.....O.O..O...OO..O..O..O.O...O......OOO.....O.O	{"work": 10, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-418	lime-jigsaw	ABBBBBCCCAABABCCCDAAAABCCDDAEFFBCDDDEEFFFFFDDEEEGHFFDIEEGGHIIIIEGGGHIHIIGGGHHHHHI	.4.....2.3........3...2..3................4.1.......32......22...1..3............	O.O...O...OO....O..O...O..O.O..O.O.....O.O.O...OO..O......OO..OO..OO....O......OO	{"work": 12, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-37	lime-jigsaw	ABBCCCCCCABBBBBDCCAAABBDDDCAEEDDDDDFAAEEEEEFFAGGGGGEEFHGGGIIFFFHHGIIIIIFHHHHHHIIF	...........4.........3.24.....3.........5...1..4...........4........53.......3..1	.OO.....O...O..OO.O.O.....O..O..O.O..O.O.O....O.O.O.......O.OO.O...O...OO...O.O..	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-109	lime-jigsaw	AAABBBCCDAEAABCCCDAEAABBCCDEEFFBBBCDEGFFFFFCDEGHHHFFDDEGGHHIIDIEGGGHIIDIEGGHHHIII	....................2.3...4..3333..3.3.3...3.3.....................3.3.......3...	O.O.....O....O..OO...O.O.O..O....OO...O.O...O.O.O.O...OO....O..O.O..O......OO.O..	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-238	lime-jigsaw	AAAABBBBBCCAAADDBBCCCADDDDBCCEAEDDDBCCEEEEEFFGHHHEIEFFGHHHHIFFFGGHHIIIFFGGGGGIIII	.2...................1........1...4........6...33...5....3.....2..4........2.....	..OOO....O..O...O.OO...O........OO.O...O..O.O.O....O.O..O.O..O..O..OO...O.O....O.	{"work": 13, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-295	lime-jigsaw	AAAAAABBBCCCCABBBBCCCDAEBBFCCDDAEEFFDDDEEEFFFGGDDHEEFFGGGDHEIIFGGGGHIIIIHHHHHHIII	13....2..1.......21.......4..4..1.........3...........3......1...................	..O.OO....OO....O...O...OO....O...OO.O.O....OO....OO...O.OO....O...OO...O.....O.O	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-649	lime-jigsaw	ABBBBCCDDAABBCCCCDABBBCCDDDAAAACEDDDAEEEEEEEFGGGEHFFFFGGGHHIIIFGHHHHIIFFGGHHIIIIF	...34............................43.....1.....4.......3..........4.....3..33....1	..O..O..O...OOO......O..OO.O.O..O...O.O...O..O.....O.O.O.....OO.O.OO.....O..O..O.	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-817	lime-jigsaw	AABBCCCCDABBCCCDDDAABBCCDDDAABEEEEDFAGBBEHHDFAGEEEEHFFGGGIIHHFFGGGIIIHHFGIIIIHHFF	12........5..2.......53......5.................2..............2..23........3....2	.....OO.OO.OO.....OOO.........OO..O..O.O...O......OO.OO....OO...O..O...O..O.O..O.	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-31	lime-jigsaw	AAAAAABBBCCDADAABBCCDDDDEBBCCDDDEEBBCCCEEEFFFGGEEHHHFFGGEHHHHFFGGIIHIHFFGGGIIIIII	................5...2.........42..3....31.4..........2..3..3.......5.......2.2...	.O.....OO.....OO.O...OO.O..O.O...O...OO....O...O..O.O.O..OO.......O.O..OOO..O....	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-145	lime-jigsaw	AAAAAABBBCAABBBBBBCADDDDDDECDDFFFFDECCCCFEEEECGFFFFGGECGGGGGGHEIIIIIIHHEIIIHHHHHH	...................22......3.......4.33...4..24.22.....5...4........22...........	.O.OO........OOO..O......OO.O.O...O.O....O..O..O..OO..O.O...O...OO.O.......O...OO	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-613	lime-jigsaw	AAAABBBBBCAAAADDBBCAEEEDDBBCCCCEDDDDCCCFEDGGGFFFFEGGGGHHFFEEEIGHHFFIIIIGHHHHHIIII	...1...3...42......32............2.......3.......4.3.......4.......6.....1.2.....	.OO.....O.O....OO.O..O....OO......OO..O.O.O....O..O.O..O.OO.......O.OO..O...OO...	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
